src,rel,dst,src_label,dst_label,row_id
93,land,415,he,walking it off,455
93,move,415,he,walking it off,456
93,stretch,415,he,walking it off,457
93,report,80,he,incident,458
93,feel,416,he,effect,459
30,impact,112,that,work,460
6,save,7,life,rules,461
417,,418,t excavator,hose leak,462
6,save,7,life,rules,463
116,go,419,they,to work in,464
116,hear,420,they,spark sound,465
50,turn,421,technician,cell,466
422,unload,423,forklift operator,tool box,467
424,back,115,driver,door,468
424,hit,115,driver,door,469
115,bend,83,door,damage,470
6,save,7,life,rules,471
425,stop,426,rain,housekeeping staff,472
427,begin,85,welders,process,473
428,remove,429,welder,pipe stand,474
430,fall,255,welding horse,contact,475
431,,255,coupon,contact,476
6,save,7,life,rules,477
6,save,7,life,rules,478
3,occur,4,activity,remote,479
6,save,7,life,rules,480
6,save,7,life,rules,481
432,move,433,personnel,tools equipment,482
94,require,432,which,personnel,483
93,,434,he,ratchet tool,484
93,tidy,98,he,area,485
93,pick,434,he,ratchet tool,486
70,deflect,435,socket,scratcher rung,487
436,call,437,stop,rov superintendent,488
438,suggest,439,thought process,safety latch tofs,489
48,depress,440,it,release button,490
6,save,7,life,rules,491
441,take,351,event,place,492
442,,443,queda do rufo,telhado,493
6,save,7,life,rules,494
52,cut,398,one,piece,495
444,rest,445,scaffolder,wood,496
446,slid,447,part,m,497
116,,448,they,requirement,498
449,hold,144,maua yard,time,499
80,involve,81,incident,injury,500
80,,82,incident,potential,501
266,show,450,consequences,outcome,502
80,,451,incident,impact potential,503
80,involve,83,incident,damage,504
6,save,7,life,rules,505
452,generate,453,substance,dust,506
454,,455,third,eye irritation,507
454,see,145,third,increase,508
25,send,456,ip,eyes,509
25,wash,456,ip,eyes,510
457,show,458,month contact lenses,wear,511
3,occur,27,activity,less,512
6,save,7,life,rules,513
246,drive,459,i,company,514
246,pass,460,i,speed bump,515
246,strike,36,i,vehicle,516
94,force,461,which,car,517
48,hit,36,it,vehicle,518
462,arrive,463,najm,investigation,519
462,conduct,463,najm,investigation,520
246,hold,464,i,liability,521
6,save,7,life,rules,522
465,rebound,25,handle,ip,523
465,hit,25,handle,ip,524
25,get,466,ip,teeth,525
25,damage,466,ip,teeth,526
3,occur,128,activity,frequent,527
6,save,7,life,rules,528
467,preppe,468,tfmc personnel,wbrt assembly,529
106,make,469,rig,pups,530
470,notice,471,tsp,indicator lines,531
470,notify,472,tsp,driller,532
116,lift,473,they,assembly,533
474,,255,mandrel,contact,534
6,save,7,life,rules,535
475,canto,476,infelizmente,com sua ponta,536
477,imediatamente,478,colaborador dirigiu se,à enfermaria e planto,537
479,incluindo,480,os,e o enfaixamento,538
479,,481,os,ferimento,539
25,,482,ip,transverse cut,540
25,insert,483,ip,tip,541
484,proceed,80,theip,incident,542
484,report,80,theip,incident,543
25,receive,317,ip,stitches,544
3,occur,27,activity,less,545
485,drive,486,spouse,pole,546
485,strike,486,spouse,pole,547
6,save,7,life,rules,548
118,,487,operator,pendant,549
6,save,7,life,rules,550
3,occur,27,activity,less,551
488,niteri,489,ltc skandi,opera§￡o tpb,552
118,stretch,490,operator,wire,553
94,disbalance,118,which,operator,554
93,contact,314,he,pain,555
93,feel,314,he,pain,556
6,save,7,life,rules,557
286,hit,491,collaborator,mango,558
492,find,493,n,leso,559
494,conduct,495,skandi africa,maintenance period,560
496,conduct,497,crew access,fabric maintenance,561
498,start,499,mewp,to operate,562
500,lower,501,mewp operator,boom arm,563
502,,255,knuckle,contact,564
224,bend,503,handrail,downwards,565
500,raise,501,mewp operator,boom arm,566
232,report,255,deck crew,contact,567
6,save,7,life,rules,568
401,work,104,bolt,way,569
6,save,7,life,rules,570
504,sustain,505,s01 facilities contractor,bee stings,571
6,save,7,life,rules,572
109,weigh,506,valve,pounds,573
46,grab,109,employee,valve,574
46,wear,507,employee,footwear,575
46,tell,508,employee,level leadership,576
116,x,509,they,foot,577
116,ray,509,they,foot,578
116,recommend,510,they,ice,579
6,save,7,life,rules,580
511,strike,512,load backrest,beam,581
513,rack,514,warehouse,beam strike,582
6,save,7,life,rules,583
50,move,51,technician,pallet,584
51,place,15,pallet,spot,585
50,stop,515,technician,movement,586
118,strike,516,operator,anything,587
517,move,51,xt storage technician,pallet,588
517,fall,518,xt storage technician,pallet foot,589
517,strike,509,xt storage technician,foot,590
6,save,7,life,rules,591
519,,520,queda,test cap durante desmontagem,592
6,save,7,life,rules,593
521,hit,522,top,bottom,594
3,occur,4,activity,remote,595
6,save,7,life,rules,596
118,move,523,operator,block,597
524,hold,523,tugger wire,block,598
6,save,7,life,rules,599
525,,526,desprendimento da lingada,guindaste,600
6,save,7,life,rules,601
46,assist,50,employee,technician,602
93,crank,527,he,ratchet,603
527,strike,287,ratchet,finger,604
467,preppe,468,tfmc personnel,wbrt assembly,605
106,make,469,rig,pups,606
470,notice,471,tsp,indicator lines,607
470,notify,472,tsp,driller,608
116,lift,473,they,assembly,609
474,,255,mandrel,contact,610
6,save,7,life,rules,611
94,contain,528,which,pulling head,612
529,,530,supplier,ndt dimensional,613
529,perform,530,supplier,ndt dimensional,614
531,dress,532,side,coating -,615
6,save,7,life,rules,616
533,keep,534,oil level,rising,617
535,increase,534,pressure,rising,618
246,,126,i,fire,619
284,decrease,536,we,choke size,620
284,end,537,we,shutting in,621
6,save,7,life,rules,622
538,place,539,janitor,brush,623
93,reach,172,he,head,624
93,bang,172,he,head,625
255,cause,159,contact,cut,626
94,start,540,which,to bleed,627
6,save,7,life,rules,628
541,see,272,recover wachs,section,629
541,cut,272,recover wachs,section,630
542,drop,543,guide bar,point,631
542,drop,544,guide bar,working position,632
545,complete,159,wachs cutter,cut,633
545,recover,159,wachs cutter,cut,634
1,carry,546,rov,search,635
547,submit,548,pon,platform,636
61,ise,82,distance,potential,637
284,take,549,we,value,638
550,need,551,buoyancy effect,to be considered,639
552,,553,seawater,density,640
6,save,7,life,rules,641
243,remove,554,task,packers,642
267,operate,384,tool,hand,643
267,leave,384,tool,hand,644
384,intend,555,hand,to be supporting tool,645
25,commence,556,ip,operating the tool,646
25,observe,557,ip,man medic,647
116,inform,558,they,deck supervisor,648
78,stop,243,who,task,649
25,lower,559,ip,man,650
25,visit,64,ip,medic,651
269,apply,560,laceration,cream wound,652
561,involve,81,tofs incident,injury,653
561,,82,tofs incident,potential,654
80,,451,incident,impact potential,655
80,involve,83,incident,damage,656
86,inform,50,hse,technician,657
6,save,7,life,rules,658
562,lid,176,deep orient,actions,659
563,cause,269,lid,laceration,660
64,clean,368,medic,wound,661
564,utilise,565,crew,food containers,662
25,wear,566,ip,leather gloves,663
94,provide,319,which,protection,664
6,save,7,life,rules,665
52,prepare,29,one,food,666
93,,567,he,cut slicing machine,667
568,report,63,cook,this,668
64,dress,159,medic,cut,669
569,do,570,às,cozinheiros comida para refeio,670
571,tratou,572,que,o corte curativo estéril,671
6,save,7,life,rules,672
3,occur,128,activity,frequent,673
6,save,7,life,rules,674
573,conduct,574,tfmc deep orient,works,675
6,save,7,life,rules,676
575,place,576,account uniflex steward,orange,677
